epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.801,3.38777,3.33536,2.79538,0.21304,0.32736,0.15697,0.05734,2.46935,2.97626,1.81468,0.000475984,0.000475984,0.000475984
2,473.932,2.52898,2.02458,1.66701,0.52791,0.41899,0.44539,0.19284,2.08626,1.63012,1.49443,0.00094289,0.00094289,0.00094289
3,691.088,2.25196,1.65692,1.46291,0.64996,0.54436,0.59254,0.28836,1.90766,1.29526,1.37502,0.00140036,0.00140036,0.00140036
4,1168.6,2.1168,1.46061,1.36339,0.76231,0.60213,0.69166,0.34713,1.81253,1.17801,1.30769,0.00138656,0.00138656,0.00138656
5,2009.06,2.03071,1.33989,1.3185,0.75738,0.63637,0.70496,0.35725,1.78128,1.13478,1.28285,0.00137241,0.00137241,0.00137241
6,2768.21,1.98344,1.26527,1.28166,0.75298,0.61222,0.70761,0.35101,1.78726,1.08471,1.2832,0.00135826,0.00135826,0.00135826
7,2966.84,1.91243,1.20674,1.26569,0.79584,0.69728,0.76589,0.40171,1.68399,0.98633,1.22281,0.00134412,0.00134412,0.00134412
8,3176.95,1.90344,1.16499,1.24628,0.83637,0.70145,0.79674,0.43372,1.65954,0.95224,1.20774,0.00132997,0.00132997,0.00132997
9,3376.76,1.85399,1.11397,1.23321,0.77099,0.71071,0.76916,0.39908,1.68179,0.97522,1.22216,0.00131582,0.00131582,0.00131582
10,3580.81,1.83815,1.09805,1.22561,0.85194,0.72022,0.80772,0.44248,1.64206,0.89277,1.18754,0.00130168,0.00130168,0.00130168
11,3783.1,1.82176,1.06593,1.21228,0.84539,0.72024,0.81522,0.44542,1.61965,0.87455,1.18942,0.00128753,0.00128753,0.00128753
12,3988.58,1.8057,1.04083,1.20376,0.84008,0.74446,0.81842,0.439,1.62639,0.87325,1.18114,0.00127338,0.00127338,0.00127338
13,4193.46,1.77709,1.03661,1.19838,0.81909,0.74935,0.79755,0.43079,1.62716,0.87991,1.17095,0.00125923,0.00125923,0.00125923
14,4396.62,1.76879,0.99729,1.18085,0.84799,0.76971,0.8349,0.45743,1.59348,0.82303,1.16283,0.00124509,0.00124509,0.00124509
15,4601.74,1.76928,0.99681,1.17791,0.85304,0.75486,0.82248,0.44465,1.6266,0.83692,1.17623,0.00123094,0.00123094,0.00123094
16,4801.09,1.73831,0.97481,1.18001,0.88223,0.77113,0.85286,0.48047,1.57468,0.79949,1.15296,0.00121679,0.00121679,0.00121679
17,5014.33,1.74341,0.97195,1.16867,0.85617,0.78227,0.85371,0.47823,1.56577,0.82056,1.14723,0.00120265,0.00120265,0.00120265
18,5214.28,1.73603,0.95269,1.16602,0.88772,0.7796,0.85809,0.47654,1.56223,0.79855,1.14327,0.0011885,0.0011885,0.0011885
19,5404.6,1.71896,0.94418,1.16511,0.88427,0.79373,0.86717,0.50322,1.51971,0.77043,1.12657,0.00117435,0.00117435,0.00117435
20,5602.01,1.71126,0.92729,1.15925,0.88864,0.7909,0.86171,0.48985,1.54087,0.76983,1.12993,0.00116021,0.00116021,0.00116021
21,5795.2,1.70999,0.92393,1.15077,0.87705,0.78914,0.85638,0.48121,1.55853,0.78346,1.13475,0.00114606,0.00114606,0.00114606
22,5980.96,1.7044,0.92325,1.15378,0.90342,0.78264,0.87014,0.50262,1.54886,0.75577,1.12917,0.00113191,0.00113191,0.00113191
23,6169.65,1.70754,0.91179,1.14956,0.87892,0.80598,0.87006,0.49597,1.54976,0.75966,1.13045,0.00111776,0.00111776,0.00111776
24,6366.41,1.69347,0.90976,1.14665,0.88483,0.78853,0.86236,0.48423,1.56602,0.76959,1.13305,0.00110362,0.00110362,0.00110362
25,6553.66,1.6829,0.88898,1.13818,0.88219,0.81729,0.88354,0.51543,1.50713,0.73348,1.11299,0.00108947,0.00108947,0.00108947
26,6741,1.67776,0.89211,1.14524,0.88044,0.81548,0.8786,0.51066,1.50722,0.73513,1.11114,0.00107532,0.00107532,0.00107532
27,6958.56,1.66495,0.8789,1.13481,0.8774,0.81253,0.8797,0.51503,1.50513,0.73057,1.11119,0.00106118,0.00106118,0.00106118
28,7204.22,1.66568,0.87615,1.13234,0.88454,0.81988,0.88586,0.51666,1.49884,0.72011,1.10885,0.00104703,0.00104703,0.00104703
29,7438.68,1.67352,0.88033,1.13608,0.89044,0.80754,0.88189,0.5172,1.49873,0.71865,1.10796,0.00103288,0.00103288,0.00103288
30,7661.86,1.66245,0.86855,1.13227,0.89755,0.82444,0.89119,0.51778,1.50464,0.70633,1.11103,0.00101873,0.00101873,0.00101873
31,7895.11,1.65149,0.85922,1.12319,0.90559,0.81877,0.88918,0.51874,1.49822,0.71585,1.10078,0.00100459,0.00100459,0.00100459
32,8137.83,1.66108,0.8626,1.12429,0.89835,0.81815,0.89014,0.52093,1.50423,0.70527,1.10617,0.00099044,0.00099044,0.00099044
33,8374.74,1.65458,0.85135,1.13195,0.8856,0.82521,0.88569,0.50704,1.52288,0.71408,1.10991,0.000976293,0.000976293,0.000976293
34,8616.37,1.64365,0.84771,1.12476,0.89432,0.82341,0.88987,0.51923,1.5083,0.70294,1.10761,0.000962146,0.000962146,0.000962146
35,8852.85,1.63836,0.84247,1.12041,0.90465,0.82085,0.89417,0.52102,1.49993,0.70056,1.10468,0.000947999,0.000947999,0.000947999
36,9093.89,1.64198,0.84549,1.12386,0.8931,0.82922,0.89026,0.52108,1.50266,0.69687,1.10312,0.000933851,0.000933851,0.000933851
37,9334.07,1.62583,0.83492,1.1185,0.9006,0.8284,0.89818,0.52961,1.48807,0.68364,1.09664,0.000919704,0.000919704,0.000919704
38,9529.96,1.63251,0.82826,1.11293,0.90209,0.82817,0.89517,0.52808,1.48689,0.68133,1.09497,0.000905557,0.000905557,0.000905557
39,9719.09,1.62214,0.83044,1.11542,0.90004,0.83062,0.89539,0.52441,1.49889,0.69238,1.09978,0.00089141,0.00089141,0.00089141
40,9922.11,1.63546,0.82882,1.11455,0.90396,0.83644,0.89988,0.52793,1.48678,0.68328,1.09008,0.000877263,0.000877263,0.000877263
41,10153.9,1.62972,0.82787,1.11107,0.90748,0.83496,0.89952,0.53008,1.48909,0.68252,1.09594,0.000863116,0.000863116,0.000863116
42,10874,1.6217,0.82298,1.11176,0.89234,0.8491,0.90222,0.53434,1.4875,0.67722,1.09595,0.000848969,0.000848969,0.000848969
43,11720,1.6021,0.81617,1.11146,0.91664,0.82847,0.90152,0.53618,1.47807,0.67145,1.09248,0.000834822,0.000834822,0.000834822
44,12580.4,1.61174,0.81513,1.10921,0.89972,0.84229,0.90055,0.53113,1.4841,0.67662,1.0891,0.000820675,0.000820675,0.000820675
45,13461.5,1.60464,0.80508,1.10384,0.90644,0.83203,0.90095,0.53253,1.48414,0.67419,1.09253,0.000806528,0.000806528,0.000806528
46,14292.5,1.6136,0.80739,1.10162,0.90371,0.84359,0.90243,0.53261,1.4879,0.666,1.09503,0.00079238,0.00079238,0.00079238
47,15160.9,1.59775,0.79563,1.0958,0.91012,0.84288,0.90238,0.53752,1.48113,0.66458,1.0886,0.000778233,0.000778233,0.000778233
48,15769.1,1.60589,0.79993,1.09903,0.91401,0.83743,0.90384,0.54018,1.46845,0.65902,1.08231,0.000764086,0.000764086,0.000764086
49,16619.3,1.59908,0.79334,1.0942,0.90309,0.8416,0.9055,0.53964,1.477,0.66129,1.08573,0.000749939,0.000749939,0.000749939
50,17465.1,1.59766,0.79715,1.10158,0.91024,0.84099,0.90891,0.53823,1.47178,0.65763,1.08434,0.000735792,0.000735792,0.000735792
51,17736.7,1.59049,0.78993,1.09641,0.90493,0.8501,0.90536,0.54112,1.46503,0.65839,1.07993,0.000721645,0.000721645,0.000721645
52,18628,1.58556,0.78648,1.09435,0.91439,0.84572,0.91094,0.54146,1.46315,0.65538,1.08179,0.000707498,0.000707498,0.000707498
53,19524.3,1.59678,0.79329,1.10039,0.90117,0.84878,0.90946,0.54629,1.458,0.65294,1.07646,0.000693351,0.000693351,0.000693351
54,20426.8,1.58626,0.78842,1.09617,0.90734,0.84209,0.90916,0.54269,1.46705,0.65434,1.08272,0.000679204,0.000679204,0.000679204
55,21038.6,1.5932,0.7883,1.09967,0.90349,0.85125,0.91171,0.54779,1.45888,0.64795,1.07741,0.000665057,0.000665057,0.000665057
56,21274.5,1.5908,0.78206,1.09261,0.90767,0.85073,0.91229,0.54621,1.47071,0.64634,1.07973,0.000650909,0.000650909,0.000650909
57,21482.5,1.59156,0.77842,1.08713,0.90415,0.84991,0.911,0.54095,1.47644,0.64794,1.08371,0.000636762,0.000636762,0.000636762
58,21715.5,1.58329,0.7803,1.09125,0.9046,0.84438,0.90789,0.54175,1.47285,0.64982,1.0801,0.000622615,0.000622615,0.000622615
59,21953.3,1.57499,0.77703,1.09194,0.91567,0.84754,0.91064,0.54937,1.45798,0.64276,1.07419,0.000608468,0.000608468,0.000608468
60,22177.8,1.57797,0.77768,1.08602,0.91966,0.85045,0.91306,0.54713,1.46284,0.64582,1.07889,0.000594321,0.000594321,0.000594321
61,22372.2,1.58172,0.77145,1.08491,0.92277,0.84886,0.91318,0.54749,1.46039,0.64595,1.07685,0.000580174,0.000580174,0.000580174
62,22599.9,1.57472,0.77076,1.08683,0.91259,0.84873,0.91375,0.54836,1.45484,0.64015,1.0735,0.000566027,0.000566027,0.000566027
63,22792.2,1.57136,0.77008,1.08592,0.92003,0.84494,0.91286,0.55069,1.45413,0.64097,1.07344,0.00055188,0.00055188,0.00055188
64,23031.1,1.56784,0.76514,1.08436,0.91776,0.84961,0.9109,0.54611,1.47159,0.64517,1.07868,0.000537733,0.000537733,0.000537733
65,23286.5,1.57708,0.76768,1.08645,0.91133,0.85711,0.91356,0.55355,1.44568,0.63979,1.06999,0.000523586,0.000523586,0.000523586
66,23643,1.56962,0.75616,1.07993,0.91627,0.85382,0.91298,0.54955,1.45929,0.64105,1.07542,0.000509438,0.000509438,0.000509438
67,23836,1.56874,0.75841,1.08476,0.91316,0.85176,0.91165,0.55326,1.4534,0.63737,1.07065,0.000495291,0.000495291,0.000495291
68,24028.6,1.55373,0.75198,1.08466,0.92023,0.84915,0.91371,0.55199,1.44964,0.63429,1.07089,0.000481144,0.000481144,0.000481144
69,24224.3,1.55828,0.75898,1.08223,0.91827,0.84867,0.91282,0.55103,1.45777,0.63575,1.07258,0.000466997,0.000466997,0.000466997
70,24418.8,1.56004,0.75286,1.07929,0.91479,0.85778,0.91373,0.55133,1.45339,0.63522,1.07082,0.00045285,0.00045285,0.00045285
71,24607.9,1.55156,0.74844,1.08191,0.91112,0.85838,0.91467,0.55444,1.45448,0.63201,1.07172,0.000438703,0.000438703,0.000438703
72,24799.4,1.56262,0.75396,1.07955,0.91391,0.85882,0.91641,0.55279,1.45239,0.63165,1.0715,0.000424556,0.000424556,0.000424556
73,24989.2,1.54958,0.74212,1.07597,0.90626,0.86175,0.91583,0.55225,1.45246,0.63219,1.071,0.000410409,0.000410409,0.000410409
74,25179.5,1.56129,0.74723,1.07506,0.91348,0.85957,0.91802,0.55303,1.45767,0.6319,1.0721,0.000396262,0.000396262,0.000396262
