epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.081,3.25522,3.22485,2.71506,0.3011,0.33078,0.25148,0.09643,2.41072,2.22028,1.74461,0.000475984,0.000475984,0.000475984
2,393.687,2.47299,1.91068,1.636,0.59396,0.46486,0.49932,0.23264,2.01496,1.45114,1.44123,0.00094289,0.00094289,0.00094289
3,586.346,2.20276,1.56484,1.43723,0.74198,0.58135,0.65095,0.32565,1.86455,1.24277,1.33436,0.00140036,0.00140036,0.00140036
4,778.637,2.09212,1.41234,1.35333,0.77477,0.63857,0.70773,0.34709,1.8616,1.1263,1.32912,0.00138656,0.00138656,0.00138656
5,971.778,2.01397,1.30359,1.31072,0.75544,0.65834,0.72398,0.37068,1.7674,1.11268,1.27111,0.00137241,0.00137241,0.00137241
6,1165.17,1.96305,1.23287,1.27382,0.78136,0.68039,0.7522,0.39545,1.70634,1.00293,1.23589,0.00135826,0.00135826,0.00135826
7,1356.62,1.89617,1.17666,1.2611,0.81423,0.70242,0.77363,0.40377,1.68217,0.9541,1.22601,0.00134412,0.00134412,0.00134412
8,1548.62,1.88359,1.14129,1.24341,0.80562,0.71881,0.79834,0.43311,1.65393,0.95592,1.21292,0.00132997,0.00132997,0.00132997
9,1762.92,1.84202,1.10211,1.23281,0.76462,0.72655,0.77004,0.39919,1.65809,0.99326,1.21827,0.00131582,0.00131582,0.00131582
10,2004.19,1.82603,1.07739,1.22404,0.86517,0.73632,0.82705,0.46335,1.60496,0.84911,1.17895,0.00130168,0.00130168,0.00130168
11,2244.97,1.81546,1.04902,1.21355,0.84006,0.73578,0.82726,0.45991,1.5885,0.85942,1.17651,0.00128753,0.00128753,0.00128753
12,2478.25,1.79379,1.02162,1.20025,0.8327,0.7552,0.82011,0.44645,1.61356,0.88076,1.18168,0.00127338,0.00127338,0.00127338
13,2717.15,1.76862,1.02253,1.20095,0.84895,0.76863,0.83607,0.4671,1.59678,0.83265,1.16203,0.00125923,0.00125923,0.00125923
14,2965.77,1.76111,0.99076,1.1835,0.85009,0.77442,0.84959,0.47742,1.58442,0.83284,1.16456,0.00124509,0.00124509,0.00124509
15,3197.26,1.75754,0.98789,1.17817,0.85103,0.77509,0.82925,0.4523,1.61324,0.81447,1.17388,0.00123094,0.00123094,0.00123094
16,4022.46,1.73261,0.96285,1.18198,0.87338,0.77965,0.86041,0.48998,1.54409,0.80076,1.14414,0.00121679,0.00121679,0.00121679
17,4882.74,1.74072,0.96695,1.17293,0.87031,0.78463,0.86345,0.48794,1.55584,0.80488,1.15281,0.00120265,0.00120265,0.00120265
18,5361.3,1.73019,0.94227,1.16926,0.87159,0.8004,0.86668,0.49526,1.54847,0.78077,1.14497,0.0011885,0.0011885,0.0011885
19,5560.26,1.71524,0.9391,1.16777,0.87125,0.8035,0.86935,0.5044,1.51666,0.76335,1.13239,0.00117435,0.00117435,0.00117435
20,5760.27,1.703,0.91838,1.16193,0.8876,0.79775,0.87303,0.50133,1.52904,0.77082,1.13184,0.00116021,0.00116021,0.00116021
21,5960.07,1.70253,0.91526,1.15186,0.8706,0.80425,0.87063,0.49351,1.54592,0.7784,1.13683,0.00114606,0.00114606,0.00114606
22,6156.19,1.69671,0.91126,1.15591,0.90163,0.79368,0.87947,0.50691,1.53673,0.73688,1.13123,0.00113191,0.00113191,0.00113191
23,6887.73,1.69795,0.90007,1.15117,0.88412,0.80798,0.87927,0.50719,1.53553,0.73716,1.12862,0.00111776,0.00111776,0.00111776
24,7744.03,1.6848,0.8992,1.14908,0.89415,0.80426,0.88143,0.49855,1.53793,0.73728,1.1318,0.00110362,0.00110362,0.00110362
25,8621.06,1.67772,0.8829,1.14094,0.89559,0.81088,0.88602,0.51633,1.49699,0.71914,1.1139,0.00108947,0.00108947,0.00108947
26,9273.49,1.67078,0.88222,1.14738,0.90011,0.80393,0.8784,0.50936,1.51754,0.72299,1.11934,0.00107532,0.00107532,0.00107532
27,9513.97,1.65952,0.86891,1.13822,0.90134,0.81386,0.88918,0.52019,1.49778,0.72704,1.11649,0.00106118,0.00106118,0.00106118
28,9724.93,1.65898,0.86873,1.13524,0.89823,0.82303,0.89662,0.52475,1.4863,0.70732,1.1094,0.00104703,0.00104703,0.00104703
29,9927.03,1.66502,0.87274,1.13765,0.89237,0.82398,0.8885,0.51945,1.48981,0.70836,1.11033,0.00103288,0.00103288,0.00103288
30,10128.5,1.65212,0.86009,1.13217,0.88923,0.82178,0.89089,0.51781,1.49744,0.70763,1.11231,0.00101873,0.00101873,0.00101873
31,10323.7,1.64642,0.85197,1.12698,0.89392,0.83827,0.89843,0.52626,1.49549,0.69428,1.1074,0.00100459,0.00100459,0.00100459
32,10522.5,1.65613,0.85275,1.12719,0.90892,0.82661,0.89364,0.52435,1.49544,0.69705,1.10878,0.00099044,0.00099044,0.00099044
33,10720.2,1.6445,0.84683,1.13359,0.90402,0.8289,0.89655,0.5173,1.51782,0.70241,1.12219,0.000976293,0.000976293,0.000976293
34,10917,1.63679,0.8408,1.12743,0.8999,0.83252,0.89815,0.52846,1.48416,0.68995,1.10476,0.000962146,0.000962146,0.000962146
