epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.445,3.04774,3.57376,2.94242,0.20044,0.31322,0.1527,0.05758,2.23223,3.10899,2.06639,0.000475984,0.000475984,0.000475984
2,516.294,2.37616,2.29569,1.91086,0.60948,0.45322,0.51048,0.23446,1.94179,1.73313,1.71698,0.00094289,0.00094289,0.00094289
3,770.106,2.1563,1.91502,1.68169,0.61983,0.53798,0.59618,0.29672,1.86096,1.53484,1.59215,0.00140036,0.00140036,0.00140036
4,1021.74,2.05932,1.70298,1.5683,0.7296,0.60586,0.69093,0.36288,1.7609,1.38443,1.50887,0.00138656,0.00138656,0.00138656
5,1290.81,1.98244,1.54675,1.50767,0.78019,0.62838,0.72142,0.36586,1.74122,1.29156,1.46873,0.00137241,0.00137241,0.00137241
6,1545.56,1.94018,1.46088,1.45864,0.76328,0.67995,0.75195,0.40736,1.67806,1.18899,1.42457,0.00135826,0.00135826,0.00135826
7,1797.23,1.888,1.41389,1.43837,0.81809,0.69432,0.78584,0.42326,1.6609,1.36015,1.39736,0.00134412,0.00134412,0.00134412
8,2049.14,1.87503,1.34995,1.41539,0.83919,0.72135,0.81052,0.45234,1.62744,1.07006,1.3824,0.00132997,0.00132997,0.00132997
9,2305.96,1.84683,1.29522,1.40022,0.81748,0.73004,0.81995,0.44652,1.63015,1.07275,1.36608,0.00131582,0.00131582,0.00131582
10,2562.81,1.83719,1.26945,1.38994,0.86072,0.74328,0.837,0.46592,1.61761,1.00104,1.35662,0.00130168,0.00130168,0.00130168
11,2822.79,1.81898,1.23197,1.36613,0.82197,0.75572,0.83113,0.46399,1.62475,1.00973,1.353,0.00128753,0.00128753,0.00128753
12,3075.95,1.80557,1.20288,1.36134,0.83345,0.74871,0.83232,0.45791,1.64407,1.00008,1.35706,0.00127338,0.00127338,0.00127338
13,3328.54,1.78419,1.19668,1.35502,0.8325,0.76616,0.84583,0.48158,1.58687,0.97436,1.31731,0.00125923,0.00125923,0.00125923
14,3584.89,1.78048,1.15085,1.33857,0.86536,0.77289,0.85762,0.48497,1.59101,0.94739,1.31723,0.00124509,0.00124509,0.00124509
