epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,266.331,3.45064,3.35677,2.75667,0.39538,0.24342,0.23633,0.09077,2.45058,2.18852,1.76681,0.000475984,0.000475984,0.000475984
2,528.239,2.54503,2.01,1.629,0.56391,0.44199,0.48722,0.2267,2.04954,1.5511,1.43641,0.00094289,0.00094289,0.00094289
3,776.607,2.25361,1.66081,1.42595,0.66904,0.52561,0.59106,0.2878,1.9365,1.32926,1.35832,0.00140036,0.00140036,0.00140036
4,1026.52,2.12636,1.46761,1.3359,0.72133,0.60695,0.69026,0.34067,1.83997,1.18135,1.29261,0.00138656,0.00138656,0.00138656
5,1265.14,2.03981,1.35444,1.28932,0.77656,0.64854,0.72985,0.37113,1.79004,1.08913,1.24842,0.00137241,0.00137241,0.00137241
6,1517.21,1.99505,1.27565,1.25319,0.76758,0.64899,0.74433,0.38846,1.73027,1.03064,1.22121,0.00135826,0.00135826,0.00135826
7,1760.62,1.92581,1.21548,1.24277,0.84612,0.66745,0.7736,0.40398,1.69896,0.99847,1.20849,0.00134412,0.00134412,0.00134412
8,1993.6,1.91071,1.17674,1.22171,0.8427,0.69335,0.78861,0.41844,1.66098,0.96222,1.19155,0.00132997,0.00132997,0.00132997
9,2242.97,1.87115,1.14157,1.21289,0.83228,0.71885,0.80626,0.42414,1.67347,0.9395,1.19196,0.00131582,0.00131582,0.00131582
10,2487.77,1.85198,1.11861,1.20322,0.84063,0.71387,0.80286,0.42682,1.66724,0.90826,1.18161,0.00130168,0.00130168,0.00130168
11,2721.73,1.83885,1.07905,1.18995,0.84277,0.74425,0.82761,0.44666,1.61231,0.87723,1.16394,0.00128753,0.00128753,0.00128753
12,2966.86,1.82159,1.05856,1.18382,0.83615,0.73742,0.80858,0.42645,1.65982,0.89887,1.17166,0.00127338,0.00127338,0.00127338
13,3209.74,1.79023,1.04608,1.17916,0.85279,0.75361,0.83293,0.45407,1.60664,0.86141,1.14487,0.00125923,0.00125923,0.00125923
14,3444.52,1.7847,1.01446,1.16451,0.84442,0.75517,0.81958,0.44726,1.58242,0.8607,1.14188,0.00124509,0.00124509,0.00124509
15,3760.87,1.78793,1.0181,1.16164,0.83636,0.74591,0.8079,0.42455,1.6456,0.86703,1.16092,0.00123094,0.00123094,0.00123094
16,4038.26,1.75165,0.9874,1.16098,0.86817,0.77092,0.85199,0.47719,1.56763,0.81082,1.13149,0.00121679,0.00121679,0.00121679
17,4527.8,1.75858,0.98726,1.1518,0.8824,0.77686,0.858,0.47306,1.56719,0.81372,1.13337,0.00120265,0.00120265,0.00120265
18,5478.65,1.75116,0.97208,1.14967,0.86681,0.78565,0.85995,0.47641,1.57598,0.79877,1.13138,0.0011885,0.0011885,0.0011885
19,6425.42,1.7351,0.96295,1.14742,0.86402,0.78613,0.86037,0.49294,1.53248,0.79257,1.11363,0.00117435,0.00117435,0.00117435
20,7373.3,1.7233,0.9426,1.14098,0.8966,0.78369,0.86739,0.50074,1.53955,0.76432,1.11895,0.00116021,0.00116021,0.00116021
21,8304.04,1.7214,0.93684,1.13338,0.88363,0.78434,0.85141,0.46944,1.58193,0.78207,1.12474,0.00114606,0.00114606,0.00114606
22,9209.28,1.71526,0.93124,1.13918,0.89642,0.78976,0.8687,0.49052,1.5609,0.76402,1.11952,0.00113191,0.00113191,0.00113191
23,9647.13,1.71785,0.92297,1.13318,0.89181,0.79772,0.87168,0.49332,1.5489,0.75459,1.11314,0.00111776,0.00111776,0.00111776
24,9952.36,1.70212,0.92386,1.1303,0.89359,0.7934,0.87273,0.49474,1.53145,0.75194,1.10674,0.00110362,0.00110362,0.00110362
25,10254.2,1.69988,0.90704,1.12344,0.87909,0.81062,0.87878,0.50227,1.51549,0.73976,1.10354,0.00108947,0.00108947,0.00108947
26,10543.9,1.68433,0.90886,1.12631,0.88897,0.81161,0.87487,0.50398,1.50159,0.73594,1.09322,0.00107532,0.00107532,0.00107532
27,10828.6,1.67988,0.89274,1.11914,0.88427,0.81396,0.87556,0.5108,1.49453,0.73624,1.09448,0.00106118,0.00106118,0.00106118
28,11116.3,1.67746,0.88824,1.11787,0.88684,0.81548,0.88143,0.51393,1.49093,0.73696,1.09265,0.00104703,0.00104703,0.00104703
29,11412.3,1.68365,0.89436,1.11998,0.88831,0.81161,0.87991,0.51613,1.48865,0.73222,1.08975,0.00103288,0.00103288,0.00103288
30,11695.8,1.66713,0.87912,1.11359,0.90094,0.81365,0.88261,0.51176,1.49862,0.72312,1.09258,0.00101873,0.00101873,0.00101873
31,11976.4,1.66208,0.86792,1.10682,0.89556,0.82319,0.8865,0.51856,1.49447,0.72221,1.08899,0.00100459,0.00100459,0.00100459
32,12261.3,1.67199,0.87146,1.10788,0.89439,0.81862,0.88507,0.51598,1.49045,0.71615,1.08549,0.00099044,0.00099044,0.00099044
33,12527.7,1.66326,0.86837,1.11424,0.89955,0.80692,0.88073,0.51261,1.50368,0.7329,1.09082,0.000976293,0.000976293,0.000976293
34,12784.5,1.64952,0.86017,1.10583,0.90343,0.82749,0.89377,0.53295,1.46116,0.69823,1.07432,0.000962146,0.000962146,0.000962146
35,13035.3,1.64322,0.85199,1.10149,0.90775,0.81665,0.8883,0.52381,1.47096,0.70908,1.0781,0.000947999,0.000947999,0.000947999
36,13278,1.65067,0.85951,1.1077,0.90299,0.81632,0.89321,0.53007,1.47456,0.70616,1.07718,0.000933851,0.000933851,0.000933851
