epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.326,3.32543,3.20348,2.76574,0.37566,0.30068,0.27163,0.10995,2.35113,2.00521,1.72421,0.000475984,0.000475984,0.000475984
2,290.455,2.47038,1.87819,1.62384,0.57308,0.46521,0.48697,0.20988,2.06594,1.52716,1.48918,0.00094289,0.00094289,0.00094289
3,430.041,2.22295,1.54479,1.43508,0.72777,0.57155,0.64847,0.31439,1.92469,1.22186,1.3878,0.00140036,0.00140036,0.00140036
4,570.073,2.05928,1.37436,1.3544,0.77507,0.63145,0.71722,0.36951,1.79066,1.06127,1.2997,0.00138656,0.00138656,0.00138656
5,706.178,1.9832,1.25974,1.31059,0.78762,0.66437,0.74482,0.38656,1.71647,1.0995,1.25875,0.00137241,0.00137241,0.00137241
6,842.814,1.93087,1.19574,1.27976,0.78638,0.69196,0.78025,0.41488,1.67287,1.01325,1.23994,0.00135826,0.00135826,0.00135826
7,979.986,1.87897,1.14136,1.25351,0.80421,0.70467,0.78728,0.41628,1.68474,0.94838,1.23678,0.00134412,0.00134412,0.00134412
8,1116.01,1.8429,1.09126,1.24367,0.83672,0.73377,0.81016,0.43087,1.67008,0.89074,1.23041,0.00132997,0.00132997,0.00132997
9,1252.73,1.81869,1.06679,1.22623,0.85982,0.71361,0.80674,0.43,1.68704,0.87713,1.22068,0.00131582,0.00131582,0.00131582
10,1392.18,1.80192,1.03962,1.21523,0.8557,0.7273,0.81387,0.45313,1.63411,0.87194,1.19612,0.00130168,0.00130168,0.00130168
11,1529.78,1.78353,1.01208,1.20509,0.86071,0.76368,0.83272,0.46829,1.60029,0.8257,1.17621,0.00128753,0.00128753,0.00128753
12,1667.03,1.77534,0.99717,1.19847,0.87796,0.75727,0.8446,0.46448,1.60409,0.82316,1.18342,0.00127338,0.00127338,0.00127338
13,1806.83,1.75677,0.97898,1.19231,0.87086,0.75957,0.83486,0.45932,1.60788,0.82368,1.18545,0.00125923,0.00125923,0.00125923
14,1943.59,1.74299,0.9672,1.18185,0.8691,0.76171,0.83799,0.46984,1.59262,0.79989,1.17129,0.00124509,0.00124509,0.00124509
15,2080.17,1.73037,0.94743,1.17709,0.87425,0.78737,0.86171,0.48139,1.56143,0.79145,1.16363,0.00123094,0.00123094,0.00123094
16,2216.83,1.71936,0.93624,1.17417,0.86428,0.78669,0.85145,0.46952,1.56312,0.79439,1.16856,0.00121679,0.00121679,0.00121679
17,2353.18,1.70415,0.91787,1.16726,0.88552,0.7881,0.86596,0.49281,1.55378,0.77632,1.15688,0.00120265,0.00120265,0.00120265
18,2490.43,1.70031,0.91735,1.16967,0.89102,0.78955,0.87005,0.49761,1.53305,0.76527,1.14571,0.0011885,0.0011885,0.0011885
19,2628.93,1.69682,0.90742,1.16353,0.87693,0.77708,0.85798,0.48047,1.56251,0.77267,1.15387,0.00117435,0.00117435,0.00117435
20,2765.72,1.705,0.90467,1.16279,0.90091,0.79065,0.87674,0.50796,1.51735,0.74532,1.14253,0.00116021,0.00116021,0.00116021
21,2902.84,1.67884,0.88947,1.16035,0.88721,0.80524,0.87263,0.49473,1.55259,0.7463,1.15458,0.00114606,0.00114606,0.00114606
22,3040.07,1.67089,0.88341,1.15497,0.87013,0.80816,0.86772,0.48606,1.54233,0.78184,1.14858,0.00113191,0.00113191,0.00113191
23,3178.97,1.67682,0.88412,1.15352,0.88674,0.8059,0.8751,0.50566,1.52245,0.74319,1.13916,0.00111776,0.00111776,0.00111776
24,3316.5,1.67242,0.87465,1.14652,0.89018,0.80186,0.8782,0.50388,1.53191,0.73397,1.14042,0.00110362,0.00110362,0.00110362
25,3453.88,1.66467,0.86267,1.14288,0.88062,0.80825,0.87686,0.51335,1.49523,0.74223,1.12283,0.00108947,0.00108947,0.00108947
26,3590.86,1.64756,0.8598,1.13741,0.902,0.80534,0.88135,0.50816,1.5311,0.72118,1.13332,0.00107532,0.00107532,0.00107532
27,3727.12,1.65655,0.8594,1.13967,0.88791,0.82215,0.8859,0.51635,1.51581,0.71549,1.12947,0.00106118,0.00106118,0.00106118
28,3866.52,1.63563,0.84188,1.13989,0.87911,0.82671,0.88603,0.52061,1.49397,0.71006,1.12555,0.00104703,0.00104703,0.00104703
29,4003.87,1.64158,0.83964,1.13474,0.88804,0.82506,0.89339,0.52144,1.49716,0.70722,1.12679,0.00103288,0.00103288,0.00103288
30,4142.87,1.63306,0.83147,1.12914,0.89083,0.82275,0.88657,0.51688,1.52017,0.70775,1.12928,0.00101873,0.00101873,0.00101873
31,4279.71,1.62451,0.83103,1.13168,0.90838,0.82183,0.89545,0.52569,1.48098,0.70489,1.1157,0.00100459,0.00100459,0.00100459
32,4417.59,1.61582,0.82238,1.13214,0.90544,0.82516,0.89801,0.52703,1.49571,0.68685,1.12168,0.00099044,0.00099044,0.00099044
