epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.651,2.96116,3.45861,2.8467,0.2136,0.35093,0.16212,0.05908,2.2132,3.69961,2.07015,0.000475984,0.000475984,0.000475984
2,502.394,2.32817,2.18536,1.86542,0.65367,0.49831,0.54642,0.26055,1.92716,1.74053,1.69111,0.00094289,0.00094289,0.00094289
3,748.697,2.12225,1.82377,1.66624,0.79652,0.59501,0.69026,0.34863,1.77717,1.43875,1.55768,0.00140036,0.00140036,0.00140036
4,989.107,2.0388,1.63075,1.56875,0.80858,0.637,0.73089,0.38237,1.7516,1.27451,1.51832,0.00138656,0.00138656,0.00138656
5,1224.73,1.96702,1.50145,1.51141,0.80359,0.66851,0.75718,0.39007,1.72429,1.19029,1.47642,0.00137241,0.00137241,0.00137241
6,1459.29,1.93601,1.41965,1.47035,0.79554,0.66477,0.77202,0.41886,1.68813,1.1546,1.45011,0.00135826,0.00135826,0.00135826
7,1695.99,1.88402,1.37178,1.45287,0.83744,0.69479,0.78967,0.42688,1.64781,1.17825,1.41318,0.00134412,0.00134412,0.00134412
8,1932.86,1.87322,1.31788,1.42842,0.8474,0.72817,0.82424,0.45718,1.62465,1.05355,1.40176,0.00132997,0.00132997,0.00132997
9,2168.7,1.84413,1.26856,1.41347,0.83945,0.7304,0.82242,0.44993,1.63925,1.0205,1.39519,0.00131582,0.00131582,0.00131582
10,2404.01,1.83335,1.24549,1.40065,0.8571,0.75243,0.83722,0.47359,1.61303,0.97309,1.37355,0.00130168,0.00130168,0.00130168
11,2635.87,1.8206,1.20664,1.38421,0.83979,0.75299,0.84419,0.47205,1.61439,0.96233,1.37318,0.00128753,0.00128753,0.00128753
12,2868.53,1.8063,1.17394,1.37528,0.85584,0.7626,0.84714,0.47192,1.61457,0.95982,1.36005,0.00127338,0.00127338,0.00127338
13,3104.1,1.78154,1.16828,1.36659,0.8611,0.77902,0.85878,0.48571,1.59804,0.9341,1.34279,0.00125923,0.00125923,0.00125923
14,3336.97,1.7819,1.13362,1.35425,0.88696,0.77268,0.8659,0.50362,1.56546,0.89918,1.32804,0.00124509,0.00124509,0.00124509
15,3568.65,1.77941,1.1242,1.34444,0.88133,0.77773,0.86499,0.49376,1.5828,0.88811,1.33117,0.00123094,0.00123094,0.00123094
16,3801.21,1.74586,1.09341,1.34043,0.89649,0.7847,0.8749,0.50839,1.5476,0.86495,1.30404,0.00121679,0.00121679,0.00121679
17,4034.31,1.75404,1.0923,1.33096,0.89984,0.7817,0.88269,0.50662,1.55654,0.86967,1.31552,0.00120265,0.00120265,0.00120265
18,4268.43,1.74992,1.07838,1.32772,0.88376,0.80534,0.88389,0.51443,1.54454,0.85318,1.30417,0.0011885,0.0011885,0.0011885
19,4498.25,1.7399,1.06833,1.32692,0.88278,0.79977,0.88362,0.51415,1.55992,0.84664,1.31258,0.00117435,0.00117435,0.00117435
20,4731.02,1.73111,1.04236,1.31856,0.89327,0.81406,0.88627,0.51919,1.53746,0.83691,1.29661,0.00116021,0.00116021,0.00116021
